"French_Muni","Swiss_Muni","local_admin_unit_id_from","local_admin_unit_id_to","flow_volume","nb.vehicles","distance","duration","share_in_ch","nb_vehicles_adj"
"Bartenheim - Rhin (Haut-) - fr-68021","Boncourt - Jura - ch-6774","fr-68021","ch-6774",1.7246391782986,1.43317515716614,46.068,53.1,0.073077048580508,0.955450104777424
"Bartenheim - Rhin (Haut-) - fr-68021","Delémont - Jura - ch-6711","fr-68021","ch-6711",3.6528730421777,3.03553749804967,55.223,52.4666666666667,0.22917231687113,2.02369166536645
"Bartenheim - Rhin (Haut-) - fr-68021","Porrentruy - Jura - ch-6800","fr-68021","ch-6800",3.295903767838,2.73889603107337,45.838,52.1,0.274190108853101,1.82593068738225
"Battenheim - Rhin (Haut-) - fr-68022","Basel - Bâle-Ville - ch-2701","fr-68022","ch-2701",65.9212440759538,61.5704419669409,34.59,30.4833333333333,0.0712345268954352,41.0469613112939
"Battenheim - Rhin (Haut-) - fr-68022","Riehen - Bâle-Ville - ch-2703","fr-68022","ch-2703",1.30127824570232,1.21539388148597,39.401,32.8333333333333,0.0443319261148255,0.810262587657311
"Battenheim - Rhin (Haut-) - fr-68022","Delémont - Jura - ch-6711","fr-68022","ch-6711",1.44249014042774,1.34728579115951,76.676,64.7666666666667,0.141595350028067,0.898190527439671
"Battenheim - Rhin (Haut-) - fr-68022","Porrentruy - Jura - ch-6800","fr-68022","ch-6800",1.301525849382,1.21562514332279,89.263,64.5166666666667,0.201024181930824,0.810416762215191
"Beblenheim - Rhin (Haut-) - fr-68023","Basel - Bâle-Ville - ch-2701","fr-68023","ch-2701",1.58284961171824,1.32167942578473,77.413,57.1166666666667,0.0327038135237629,0.88111961718982
"Bellemagny - Rhin (Haut-) - fr-68024","Basel - Bâle-Ville - ch-2701","fr-68024","ch-2701",2.0134492446497,1.09732983833409,61.363,50.2333333333333,0.0655811603715159,0.731553225556058
"Bendorf - Rhin (Haut-) - fr-68025","Basel - Bâle-Ville - ch-2701","fr-68025","ch-2701",2.86437124685285,2.63808591835147,32.615,39.4166666666667,0.299686514543848,1.75872394556765
"Bennwihr - Rhin (Haut-) - fr-68026","Basel - Bâle-Ville - ch-2701","fr-68026","ch-2701",2.3356482847888,2.03434965605105,73.955,56.05,0.032575875896136,1.35623310403403
"Berentzwiller - Rhin (Haut-) - fr-68027","Basel - Bâle-Ville - ch-2701","fr-68027","ch-2701",4.19468592635355,4.03109317522576,19.344,25.1666666666667,0.207484264891155,2.68739545015051
"Bergheim - Rhin (Haut-) - fr-68028","Basel - Bâle-Ville - ch-2701","fr-68028","ch-2701",3.4812829466451,2.94168408991511,80.686,58.1666666666667,0.0348480572220781,1.96112272661007
"Bergholtz - Rhin (Haut-) - fr-68029","Basel - Bâle-Ville - ch-2701","fr-68029","ch-2701",4.71211522400028,4.11367659055224,55.286,43.35,0.0512509852450098,2.74245106036816
"Bergholtzzell - Rhin (Haut-) - fr-68030","Basel - Bâle-Ville - ch-2701","fr-68030","ch-2701",1.82970431570224,1.51499517340145,56.845,45.3333333333333,0.0505613892169089,1.00999678226763
"Berrwiller - Rhin (Haut-) - fr-68032","Basel - Bâle-Ville - ch-2701","fr-68032","ch-2701",50.4658280208328,45.570642702812,51.041,44.4333333333333,0.0672631422925793,30.3804284685413
"Bettendorf - Rhin (Haut-) - fr-68033","Basel - Bâle-Ville - ch-2701","fr-68033","ch-2701",5.38118280266498,5.25203441540102,29.744,39.0333333333333,0.148621100319721,3.50135627693401
"Bettlach - Rhin (Haut-) - fr-68034","Basel - Bâle-Ville - ch-2701","fr-68034","ch-2701",3.93101995383989,3.5968832577635,20.198,26.65,0.537781428524083,2.39792217184234
"Biederthal - Rhin (Haut-) - fr-68035","Basel - Bâle-Ville - ch-2701","fr-68035","ch-2701",4.03888330623184,3.31188431111011,17.271,31.2,0.630333536727507,2.20792287407341
"Biesheim - Rhin (Haut-) - fr-68036","Basel - Bâle-Ville - ch-2701","fr-68036","ch-2701",4.24887460674107,3.61154341572991,63.98,56.75,0.0654985693650712,2.40769561048661
"Biltzheim - Rhin (Haut-) - fr-68037","Basel - Bâle-Ville - ch-2701","fr-68037","ch-2701",1.98009097178735,1.69891805379355,51.534,40.6,0.0444120014168984,1.13261203586236
"Bischwihr - Rhin (Haut-) - fr-68038","Basel - Bâle-Ville - ch-2701","fr-68038","ch-2701",1.88035301745137,1.60770182992092,69.534,52.55,0.0477507481310499,1.07180121994728
"Bisel - Rhin (Haut-) - fr-68039","Basel - Bâle-Ville - ch-2701","fr-68039","ch-2701",6.72348229909811,5.91666442320634,33.519,43.8666666666667,0.161617377817047,3.94444294880422
"Bitschwiller-lès-Thann - Rhin (Haut-) - fr-68040","Basel - Bâle-Ville - ch-2701","fr-68040","ch-2701",8.45924940478773,6.77585877323497,58.285,49.6,0.0613423027123716,4.51723918215665
"Blodelsheim - Rhin (Haut-) - fr-68041","Basel - Bâle-Ville - ch-2701","fr-68041","ch-2701",3.32842208071592,2.98226618432147,43.393,41.4666666666667,0.0881193328821659,1.98817745621431
"Blotzheim - Rhin (Haut-) - fr-68042","Basel - Bâle-Ville - ch-2701","fr-68042","ch-2701",195.836929695791,169.594781116555,10.316,17.4666666666667,0.343060602239644,113.063187411036
"Blotzheim - Rhin (Haut-) - fr-68042","Riehen - Bâle-Ville - ch-2703","fr-68042","ch-2703",3.86579986300994,3.34778268136661,15.128,19.8,0.135836150742861,2.23185512091107
